market,date_polled,ig_followers,fb_followers,posts_last_90d,recent_post_likes,recent_post_comments,recent_post_shares,recent_post_views,sentiment,location_current,similar_vendor_count,notable_vendors,source_urls,notes
Bash on the Bluff,2022-06-01,520,700,6,5,1,1,600,positive,Bluff Park (Hoover AL),1,Honeybee Hollow,https://instagram.com/bash_on_the_bluff | https://facebook.com/bashonthebluff,ILLUSTRATIVE seed row (not live-captured) — early baseline to anchor the 5y trajectory; replace with real history as you back-fill
Bash on the Bluff,2023-06-01,720,950,8,7,2,2,1100,positive,Bluff Park (Hoover AL),1,Honeybee Hollow,https://instagram.com/bash_on_the_bluff | https://facebook.com/bashonthebluff,ILLUSTRATIVE seed row (not live-captured) — audience + interactions climbing YoY
Bash on the Bluff,2024-06-01,940,1200,9,9,3,3,1700,positive,Bluff Park (Hoover AL),2,Honeybee Hollow;Wax & Wick,https://instagram.com/bash_on_the_bluff | https://facebook.com/bashonthebluff,ILLUSTRATIVE seed row (not live-captured) — reach growing as reels take off; junior-vendor booth promoted in stories
Bash on the Bluff,2025-06-01,1180,1500,11,11,4,4,2300,positive,Bluff Park (Hoover AL),2,Honeybee Hollow;Wax & Wick,https://instagram.com/bash_on_the_bluff | https://facebook.com/bashonthebluff,ILLUSTRATIVE seed row (not live-captured) — strong YoY; same venue; junior booth reconfirmed
Bash on the Bluff,2026-06-07,1274,1600,12,14,,5,2800,positive,Bluff Park (Hoover AL),2,Honeybee Hollow;Wax & Wick,https://instagram.com/bash_on_the_bluff | https://facebook.com/bashonthebluff | https://bashonthebluff.com,LIVE capture: FB 1.6K followers; most-recent FB post 14 likes / 5 shares / 2.8K views (comments not shown); IG 1274 (219 posts total). NONPROFIT confirmed (affinity override); same venue; junior-vendor booth needs email to confirm
The Chattanooga Market,2022-06-01,24000,,36,190,20,8,11000,positive,First Horizon Pavilion,3,MadeSouth;River City Candles,https://instagram.com/chattamarket,ILLUSTRATIVE seed row (not live-captured) — early baseline; strong reach when audience was smaller
The Chattanooga Market,2023-06-01,28000,,38,175,18,7,10000,positive,First Horizon Pavilion,3,MadeSouth;River City Candles,https://instagram.com/chattamarket,ILLUSTRATIVE seed row (not live-captured) — audience climbing, per-post interest starting to thin
The Chattanooga Market,2024-06-01,30000,,39,168,16,6,9500,positive,First Horizon Pavilion,4,MadeSouth;River City Candles,https://instagram.com/chattamarket,ILLUSTRATIVE seed row (not live-captured) — growth flattening; more candle vendors entering
The Chattanooga Market,2025-06-01,31000,,40,160,15,5,9000,positive,First Horizon Pavilion,4,MadeSouth;River City Candles,https://instagram.com/chattamarket,Large rolling weekend market — IG-primary; FB count login-gated
The Chattanooga Market,2026-06-01,32000,,38,150,12,4,8200,neutral,First Horizon Pavilion,5,MadeSouth;River City Candles;Bluff Soap Co,https://instagram.com/chattamarket,Flat followers; engagement + reach softening; more candle vendors entering
Christmas Village BJCC,2022-06-01,18000,22000,14,120,14,10,5000,positive,BJCC (Birmingham AL),4,Magic City Candles;Southern Soapery,https://instagram.com/christmasvillagebham,ILLUSTRATIVE seed row (not live-captured) — no real history polled yet; placeholder baseline to anchor trajectory, replace on first live poll
Christmas Village BJCC,2023-06-01,21000,25000,15,140,18,14,7000,positive,BJCC (Birmingham AL),4,Magic City Candles;Southern Soapery,https://instagram.com/christmasvillagebham,ILLUSTRATIVE seed row (not live-captured) — placeholder; audience + interactions rising
Christmas Village BJCC,2024-06-01,24000,28000,16,165,22,18,9500,positive,BJCC (Birmingham AL),5,Magic City Candles;Southern Soapery;Wax & Wick,https://instagram.com/christmasvillagebham,ILLUSTRATIVE seed row (not live-captured) — placeholder; reels gaining reach
Christmas Village BJCC,2025-06-01,27000,31000,17,190,26,22,12500,positive,BJCC (Birmingham AL),5,Magic City Candles;Southern Soapery;Wax & Wick,https://instagram.com/christmasvillagebham,ILLUSTRATIVE seed row (not live-captured) — placeholder; strong YoY ahead of holiday season
Christmas Village BJCC,2026-06-01,30000,34000,18,210,30,26,15000,positive,BJCC (Birmingham AL),6,Magic City Candles;Southern Soapery;Wax & Wick,https://instagram.com/christmasvillagebham,ILLUSTRATIVE seed row (not live-captured) — NEEDS a real live poll to anchor the latest year; numbers are placeholders only
